MSZoning,LotArea,LotShape,BldgType,OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,GrLivArea,HalfBath,KitchenQual,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,PavedDrive,SalePrice
0.5,0.4876239818552843,1.0,0.0,0.6666666666666665,0.03937007874015748,0.09836065573770493,0.3333333333333333,0.5,1.0,0.3333333333333333,0.39005524861878454,0.36738197424892705,0.0,1.0,0.3735665470058138,0.580155916714566,0.5,0.6666666666666666,0.0,0.0,0.6666666666666666,0.5,0.5126286248830683,1.0,12.247694320220994
0.5,0.5296117384959178,1.0,0.0,0.5555555555555556,0.2440944881889764,0.5245901639344263,1.0,0.5,0.25,0.0,0.5403314917127072,0.5416309012875536,0.0,1.0,0.5899858310647068,0.41052608664012613,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5,0.4303086997193639,1.0,12.109010932687042
0.5,0.5818033049534317,0.0,0.0,0.6666666666666665,0.05511811023622047,0.11475409836065574,0.3333333333333333,0.5,0.75,0.3333333333333333,0.2685082872928177,0.3948497854077253,0.0,1.0,0.41376551664720784,0.6044366238538972,0.5,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.5,0.568755846585594,1.0,12.31716669303576
0.5,0.5278933728424064,0.0,0.0,0.6666666666666665,0.7165354330708661,0.6065573770491803,1.0,1.0,1.0,0.0,0.11933701657458565,0.3244635193133047,0.5,1.0,0.4380737650730735,0.5824369691759648,0.0,0.6666666666666666,0.3333333333333333,0.6000000000000001,1.0,0.75,0.6005612722170253,1.0,11.84939770159144
0.5,0.6598217222882461,0.0,0.0,0.7777777777777777,0.06299212598425197,0.14754098360655737,0.3333333333333333,0.5,0.0,0.3333333333333333,0.36187845303867405,0.49141630901287553,0.0,1.0,0.5357430461445642,0.7203367778351222,0.5,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.75,0.7820392890551918,1.0,12.429216196844383
0.5,0.6564585487062056,0.0,0.0,0.4444444444444445,0.12598425196850394,0.2459016393442623,1.0,0.5,1.0,0.3333333333333333,0.4044198895027625,0.34163090128755363,0.0,1.0,0.3330509642286308,0.4531052658614172,0.5,1.0,0.0,0.0,1.0,0.5,0.4490177736202058,1.0,11.870599909242044
0.5,0.5457974920228197,1.0,0.0,0.7777777777777777,0.023622047244094488,0.04918032786885246,0.3333333333333333,0.0,0.0,0.3333333333333333,0.756353591160221,0.7236051502145923,0.0,1.0,0.7541165978893036,0.5749068225508847,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.5,0.5949485500467727,1.0,12.634603026569334
0.5,0.5553810629192695,0.0,0.0,0.6666666666666665,0.28346456692913385,0.6065573770491803,1.0,0.5,0.75,0.0,0.4745856353591161,0.47510729613733904,0.0,1.0,0.5169262254583362,0.692204067693563,0.5,1.0,0.6666666666666666,0.0,0.6666666666666666,0.5,0.45275958840037417,1.0,12.206072645530174
0.75,0.38146577183696984,1.0,0.0,0.6666666666666665,0.6062992125984252,0.9672131147540984,1.0,1.0,1.0,1.0,0.0,0.40858369098712444,0.5,1.0,0.47238481245429087,0.600672329060747,0.0,1.0,0.6666666666666666,0.6000000000000001,1.0,0.5,0.4377923292797007,1.0,11.77452020265869
0.5,0.4448495175585063,1.0,0.25,0.4444444444444445,0.5433070866141733,0.9672131147540984,1.0,1.0,1.0,0.3333333333333333,0.4701657458563536,0.4253218884120171,0.0,1.0,0.5016088008982895,0.32201445937228934,0.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.25,0.19176800748362957,1.0,11.678439903447801
0.5,0.580337528476949,1.0,0.0,0.4444444444444445,0.33858267716535434,0.7213114754098361,1.0,1.0,1.0,0.8333333333333333,0.5005524861878453,0.4463519313304721,0.0,1.0,0.48211866332172004,0.3024946385622016,0.0,1.0,0.0,0.6000000000000001,1.0,0.25,0.35921421889616467,1.0,11.771436160121729
0.5,0.600950041677887,0.0,0.0,0.8888888888888888,0.007874015748031496,0.01639344262295082,0.0,0.0,1.0,0.3333333333333333,0.5513812154696133,0.5042918454935622,0.0,1.0,0.553473985988556,0.7514613329854951,0.0,0.0,0.6666666666666666,0.4,0.0,0.75,0.6884939195509823,1.0,12.751299696013497
0.5,0.6285691034703804,0.3333333333333333,0.0,0.4444444444444445,0.36220472440944884,0.7704918032786886,1.0,1.0,1.0,0.0,0.407182320441989,0.3914163090128755,1.0,1.0,0.4088963225102238,0.22916078104988635,0.0,1.0,0.0,0.6000000000000001,1.0,0.25,0.3292797006548176,1.0,11.877568578558138
0.5,0.5638295534190467,0.0,0.0,0.6666666666666665,0.007874015748031496,0.01639344262295082,0.3333333333333333,0.5,0.0,1.0,0.0,0.6412017167381974,0.0,1.0,0.6840723910330246,0.5047559392516847,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.75,0.7857811038353602,1.0,12.540757571577291
0.5,0.5720062917154225,0.0,0.0,0.5555555555555556,0.3779527559055118,0.8032786885245902,1.0,1.0,1.0,0.16666666666666666,0.4049723756906078,0.5377682403433476,1.0,1.0,0.5859956170826544,0.40652979561254465,0.5,1.0,0.3333333333333333,0.0,0.6666666666666666,0.25,0.3292797006548176,1.0,11.964001084330445
0.75,0.38146577183696984,1.0,0.0,0.6666666666666665,0.6141732283464567,0.11475409836065574,1.0,1.0,1.0,1.0,0.0,0.35708154506437767,0.0,1.0,0.37226240796704113,0.19247107351726012,0.0,1.0,0.0,0.6000000000000001,1.0,0.5,0.538821328344247,1.0,11.790557201568507
